PDB_ID	Binding_Type	pK	Max_Prediction
2tpi	Kd	4.310	0.912
4tln	Ki	3.721	0.858
1rnt	Kd	5.187	0.611
4ts1	Kd	4.936	0.500
3gst	Ki	6.721	0.646
4tmn	Ki	10.167	0.966
2tmn	Ki	5.886	0.968
1tlp	Ki	7.553	0.955
1tmn	Ki	7.301	0.943
1cps	Ki	6.658	0.624
5tmn	Ki	8.041	0.968
1rbp	Kd	6.721	0.775
1fkf	Kd	9.398	0.557
4er1	Ki	6.616	0.897
5er2	Ki	6.569	0.870
4er2	Ki	9.301	0.857
2ypi	Ki	4.824	0.707
6cpa	Ki	11.523	0.573
2sim	Ki	3.420	0.500
4sga	Ki	7.301	0.733
5er1	Ki	6.018	0.902
4tim	Ki	2.161	0.736
1igj	Kd	10.000	0.675
1fkb	Kd	9.699	0.525
1l83	Kd	3.398	0.500
1atr	Kd	6.959	0.954
6rnt	Kd	2.367	0.681
1bhf	Kd	4.377	0.809
2qi3	Ki	10.201	0.992
2qnn	Ki	7.155	0.994
2r3w	Ki	6.893	0.992
3jzh	Kd	3.398	0.873
2gst	Ki	6.071	0.518
1ppm	Ki	5.796	0.926
1hos	Ki	8.553	0.995
1ppl	Ki	8.553	0.942
1bcd	Ki	8.699	0.870
1ivp	Ki	7.523	0.974
1trd	Ki	5.398	0.816
1hsl	Kd	7.194	0.601
2drc	Kd	9.886	0.974
1a9m	Ki	6.924	0.991
1hvh	Ki	7.959	0.992
1lst	Kd	7.854	0.577
1dhj	Kd	6.551	0.980
1adl	Kd	5.357	0.953
1mfd	Kd	5.310	0.618
3bwj	Kd	6.496	0.985
3ekt	Kd	10.585	0.993
3f7g	Ki	7.367	0.924
3i6o	Ki	10.347	0.993
2cgr	Kd	7.276	0.840
1dhi	Kd	7.260	0.973
1srg	Kd	5.301	0.530
1erb	Kd	8.097	0.806
1mfa	Kd	5.041	0.734
1tni	Ki	4.000	0.983
2ctc	Ki	3.886	0.500
1add	Ki	6.745	0.807
1elc	Ki	6.658	0.816
1wht	Ki	3.699	0.639
1ctu	Ki	11.921	0.566
1tnh	Ki	3.367	0.983
1ela	Ki	6.357	0.856
1cbx	Ki	6.347	0.582
1ppc	Ki	6.161	0.993
1hps	Ki	9.222	0.992
1gar	Ki	10.000	0.604
3f7i	Ki	7.337	0.803
4gr3	Ki	7.810	0.967
1azm	Ki	6.097	0.864
1tng	Ki	2.932	0.981
1pph	Ki	5.921	0.993
1fki	Ki	7.000	0.519
1ctt	Ki	4.523	0.630
1rpf	Ki	3.987	0.882
1fkg	Ki	8.000	0.862
1tkb	Ki	8.000	0.706
1hvl	Ki	9.951	0.993
1epo	Ki	7.959	0.891
1hvk	Ki	10.959	0.993
1hvi	Ki	10.921	0.993
1sbg	Ki	7.745	0.993
1apv	Ki	9.000	0.930
1ppk	Ki	7.658	0.931
1lyb	Ki	11.420	0.857
2cht	Ki	5.523	0.787
1aaq	Ki	8.398	0.995
1hvj	Ki	11.398	0.993
1hbv	Ki	6.367	0.994
1hvs	Ki	10.301	0.995
1hii	Ki	7.276	0.977
3hit	Ki	8.194	0.539
1elb	Ki	7.155	0.816
8cpa	Ki	9.149	0.631
1fkh	Ki	8.155	0.754
1siv	Ki	8.076	0.981
1drj	Kd	7.398	0.500
2dri	Kd	6.886	0.500
1str	Kd	4.770	0.626
1drk	Kd	6.824	0.500
1flr	Kd	10.000	0.799
1hmr	Kd	6.553	0.928
1hms	Kd	6.367	0.935
1hmt	Kd	5.785	0.921
1pro	Ki	11.301	0.994
1cny	Kd	7.854	0.973
1laf	Kd	7.854	0.751
186l	Kd	4.854	0.500
1cnw	Kd	7.721	0.963
184l	Kd	4.721	0.593
1yda	Kd	6.553	0.945
185l	Kd	3.538	0.500
1pgp	Kd	5.699	0.695
1lah	Kd	7.523	0.730
187l	Kd	3.375	0.500
1cnx	Kd	7.367	0.946
188l	Kd	3.328	0.556
1ydb	Kd	8.237	0.948
1lag	Kd	6.301	0.781
1ydd	Kd	7.066	0.946
1cgl	Ki	6.870	0.884
1ele	Ki	6.854	0.818
1fpc	Ki	7.000	0.989
1eld	Ki	6.699	0.811
1bty	Ki	4.735	0.979
1fiv	Ki	6.585	0.933
1bma	Ki	4.585	0.860
1lcp	Ki	6.638	0.770
1pdz	Ki	3.699	0.621
1hvr	Ki	9.509	0.991
1atl	Ki	6.284	0.896
1tpw	Ki	3.301	0.851
1hpv	Ki	9.222	0.993
1lan	Ki	7.222	0.557
1ppi	Ki	5.013	0.500
1hih	Ki	8.046	0.993
1nja	Kd	6.310	0.812
1gaf	Kd	8.000	0.913
1tsy	Kd	4.959	0.934
1dar	Kd	4.959	0.930
1lkk	Kd	6.854	0.878
1lkl	Kd	5.812	0.653
1nje	Kd	3.796	0.887
