PDB_ID	Binding_Type	pK	Max_Prediction	Mean_High_Prediction
2tpi	Kd	4.310	0.912	0.347
4tln	Ki	3.721	0.858	0.413
1rnt	Kd	5.187	0.611	0.342
4ts1	Kd	4.936	0.500	0.193
3gst	Ki	6.721	0.646	0.261
4tmn	Ki	10.167	0.966	0.494
2tmn	Ki	5.886	0.968	0.431
1tlp	Ki	7.553	0.955	0.412
1tmn	Ki	7.301	0.943	0.489
1cps	Ki	6.658	0.624	0.239
5tmn	Ki	8.041	0.968	0.482
1rbp	Kd	6.721	0.775	0.325
1fkf	Kd	9.398	0.557	0.301
4er1	Ki	6.616	0.897	0.406
5er2	Ki	6.569	0.870	0.360
4er2	Ki	9.301	0.857	0.336
2ypi	Ki	4.824	0.707	0.256
6cpa	Ki	11.523	0.573	0.237
2sim	Ki	3.420	0.500	0.235
4sga	Ki	7.301	0.733	0.326
5er1	Ki	6.018	0.902	0.358
4tim	Ki	2.161	0.736	0.318
1igj	Kd	10.000	0.675	0.252
1fkb	Kd	9.699	0.525	0.355
1l83	Kd	3.398	0.500	0.189
1atr	Kd	6.959	0.954	0.387
6rnt	Kd	2.367	0.681	0.362
1bhf	Kd	4.377	0.809	0.400
2qi3	Ki	10.201	0.992	0.673
2qnn	Ki	7.155	0.994	0.639
2r3w	Ki	6.893	0.992	0.636
3jzh	Kd	3.398	0.873	0.305
2gst	Ki	6.071	0.518	0.259
1ppm	Ki	5.796	0.926	0.303
1hos	Ki	8.553	0.995	0.631
1ppl	Ki	8.553	0.942	0.333
1bcd	Ki	8.699	0.870	0.372
1ivp	Ki	7.523	0.974	0.436
1trd	Ki	5.398	0.816	0.332
1hsl	Kd	7.194	0.601	0.219
2drc	Kd	9.886	0.974	0.443
1a9m	Ki	6.924	0.991	0.594
1hvh	Ki	7.959	0.992	0.650
1lst	Kd	7.854	0.577	0.287
1dhj	Kd	6.551	0.980	0.453
1adl	Kd	5.357	0.953	0.375
1mfd	Kd	5.310	0.618	0.292
3bwj	Kd	6.496	0.985	0.522
3ekt	Kd	10.585	0.993	0.616
3f7g	Ki	7.367	0.924	0.316
3i6o	Ki	10.347	0.993	0.637
2cgr	Kd	7.276	0.840	0.373
1dhi	Kd	7.260	0.973	0.466
1srg	Kd	5.301	0.530	0.240
1erb	Kd	8.097	0.806	0.355
1mfa	Kd	5.041	0.734	0.316
1tni	Ki	4.000	0.983	0.522
2ctc	Ki	3.886	0.500	0.198
1add	Ki	6.745	0.807	0.313
1elc	Ki	6.658	0.816	0.354
1wht	Ki	3.699	0.639	0.182
1ctu	Ki	11.921	0.566	0.211
1tnh	Ki	3.367	0.983	0.513
1ela	Ki	6.357	0.856	0.369
1cbx	Ki	6.347	0.582	0.212
1ppc	Ki	6.161	0.993	0.527
1hps	Ki	9.222	0.992	0.640
1gar	Ki	10.000	0.604	0.237
3f7i	Ki	7.337	0.803	0.423
4gr3	Ki	7.810	0.967	0.479
1azm	Ki	6.097	0.864	0.399
1tng	Ki	2.932	0.981	0.511
1pph	Ki	5.921	0.993	0.549
1fki	Ki	7.000	0.519	0.266
1ctt	Ki	4.523	0.630	0.199
1rpf	Ki	3.987	0.882	0.332
1fkg	Ki	8.000	0.862	0.330
1tkb	Ki	8.000	0.706	0.246
1hvl	Ki	9.951	0.993	0.621
1epo	Ki	7.959	0.891	0.348
1hvk	Ki	10.959	0.993	0.621
1hvi	Ki	10.921	0.993	0.630
1sbg	Ki	7.745	0.993	0.666
1apv	Ki	9.000	0.930	0.340
1ppk	Ki	7.658	0.931	0.304
1lyb	Ki	11.420	0.857	0.318
2cht	Ki	5.523	0.787	0.149
1aaq	Ki	8.398	0.995	0.649
1hvj	Ki	11.398	0.993	0.631
1hbv	Ki	6.367	0.994	0.661
1hvs	Ki	10.301	0.995	0.600
1hii	Ki	7.276	0.977	0.482
3hit	Ki	8.194	0.539	0.284
1elb	Ki	7.155	0.816	0.350
8cpa	Ki	9.149	0.631	0.236
1fkh	Ki	8.155	0.754	0.331
1siv	Ki	8.076	0.981	0.479
1drj	Kd	7.398	0.500	0.257
2dri	Kd	6.886	0.500	0.236
1str	Kd	4.770	0.626	0.283
1drk	Kd	6.824	0.500	0.250
1flr	Kd	10.000	0.799	0.250
1hmr	Kd	6.553	0.928	0.349
1hms	Kd	6.367	0.935	0.344
1hmt	Kd	5.785	0.921	0.347
1pro	Ki	11.301	0.994	0.640
1cny	Kd	7.854	0.973	0.502
1laf	Kd	7.854	0.751	0.327
186l	Kd	4.854	0.500	0.212
1cnw	Kd	7.721	0.963	0.442
184l	Kd	4.721	0.593	0.217
1yda	Kd	6.553	0.945	0.431
185l	Kd	3.538	0.500	0.199
1pgp	Kd	5.699	0.695	0.200
1lah	Kd	7.523	0.730	0.269
187l	Kd	3.375	0.500	0.195
1cnx	Kd	7.367	0.946	0.467
188l	Kd	3.328	0.556	0.178
1ydb	Kd	8.237	0.948	0.404
1lag	Kd	6.301	0.781	0.309
1ydd	Kd	7.066	0.946	0.478
1cgl	Ki	6.870	0.884	0.381
1ele	Ki	6.854	0.818	0.370
1fpc	Ki	7.000	0.989	0.461
1eld	Ki	6.699	0.811	0.358
1bty	Ki	4.735	0.979	0.538
1fiv	Ki	6.585	0.933	0.383
1bma	Ki	4.585	0.860	0.379
1lcp	Ki	6.638	0.770	0.162
1pdz	Ki	3.699	0.621	0.179
1hvr	Ki	9.509	0.991	0.630
1atl	Ki	6.284	0.896	0.319
1tpw	Ki	3.301	0.851	0.332
1hpv	Ki	9.222	0.993	0.668
1lan	Ki	7.222	0.557	0.141
1ppi	Ki	5.013	0.500	0.281
1hih	Ki	8.046	0.993	0.655
1nja	Kd	6.310	0.812	0.215
1gaf	Kd	8.000	0.913	0.277
1tsy	Kd	4.959	0.934	0.295
1dar	Kd	4.959	0.930	0.258
1lkk	Kd	6.854	0.878	0.431
1lkl	Kd	5.812	0.653	0.363
1nje	Kd	3.796	0.887	0.248
1ceb	Kd	6.000	0.500	0.287
1njd	Kd	5.569	0.900	0.268
1njc	Kd	5.553	0.847	0.233
1mai	Kd	6.678	0.500	0.352
1sld	Kd	6.569	0.763	0.251
2olb	Kd	5.538	0.675	0.237
1pot	Kd	5.495	0.571	0.187
1det	Kd	4.301	0.538	0.349
1kel	Kd	7.284	0.701	0.300
1mmq	Ki	7.523	0.900	0.459
1grp	Ki	3.724	0.745	0.210
1sln	Ki	6.638	0.967	0.451
1hsh	Ki	9.420	0.978	0.518
1igb	Ki	6.398	0.597	0.175
1jao	Ki	5.921	0.908	0.459
1gai	Ki	8.000	0.500	0.264
1tcx	Ki	6.951	0.994	0.597
1dud	Ki	4.824	0.629	0.229
1gno	Ki	7.699	0.991	0.617
1gnn	Ki	5.678	0.990	0.555
1dif	Ki	10.658	0.993	0.611
1jaq	Ki	4.481	0.766	0.364
2csn	Ki	4.409	0.859	0.238
1mmr	Ki	5.398	0.906	0.459
1mtr	Ki	8.398	0.994	0.657
1hpx	Ki	11.260	0.994	0.638
1gnm	Ki	6.252	0.991	0.592
1rnm	Ki	3.074	0.896	0.344
1fkw	Ki	5.046	0.865	0.314
1avn	Kd	3.903	0.864	0.420
1drv	Kd	6.538	0.800	0.227
1okl	Kd	6.032	0.880	0.469
1jev	Kd	6.886	0.672	0.241
1aj7	Kd	3.870	0.902	0.254
1jeu	Kd	6.824	0.737	0.226
1ado	Kd	6.000	0.500	0.133
2h4n	Kd	8.699	0.948	0.467
2mas	Kd	7.523	0.681	0.205
1jet	Kd	7.252	0.741	0.240
2aac	Kd	2.222	0.500	0.141
1uvt	Ki	7.638	0.987	0.504
1qbt	Ki	10.620	0.993	0.609
1qbr	Ki	10.569	0.994	0.634
1ajq	Ki	4.310	0.500	0.140
1qbu	Ki	10.237	0.990	0.627
1ai7	Ki	4.086	0.500	0.126
1hxb	Ki	9.921	0.993	0.639
1ai5	Ki	3.724	0.560	0.187
1dmp	Ki	9.553	0.992	0.654
1qbs	Ki	9.469	0.991	0.640
1hpo	Ki	9.222	0.993	0.663
1yds	Ki	5.921	0.961	0.500
3gss	Ki	5.824	0.697	0.370
2gss	Ki	4.939	0.500	0.274
1ajx	Ki	7.914	0.990	0.664
2rkm	Ki	3.903	0.566	0.208
3aid	Ki	6.863	0.993	0.680
1aid	Ki	4.824	0.988	0.669
1ajv	Ki	7.719	0.993	0.640
1ajn	Ki	2.635	0.522	0.189
1vfn	Ki	5.602	0.517	0.173
1ydr	Ki	5.523	0.968	0.508
1ai4	Ki	2.504	0.500	0.156
7upj	Ki	8.495	0.992	0.667
6upj	Ki	6.319	0.913	0.328
1ydt	Ki	7.319	0.972	0.489
1ajp	Ki	2.233	0.500	0.159
1amk	Ki	4.301	0.686	0.269
1tom	Ki	8.301	0.988	0.469
5upj	Ki	7.125	0.908	0.350
2jxr	Ki	7.046	0.618	0.261
1rtf	Ki	3.041	0.939	0.417
1b7h	Kd	8.022	0.726	0.247
1b6h	Kd	7.824	0.666	0.235
1bcu	Kd	3.276	0.971	0.409
1a4k	Kd	8.000	0.500	0.222
3pcj	Kd	7.222	0.802	0.184
1b1h	Kd	7.032	0.730	0.249
1b0h	Kd	6.699	0.750	0.255
1b38	Kd	6.595	0.975	0.511
3pck	Kd	6.699	0.794	0.183
1wdn	Kd	6.301	0.500	0.212
1b3h	Kd	6.208	0.710	0.248
1a9q	Kd	6.167	0.514	0.195
1ax0	Kd	3.127	0.574	0.270
1jmg	Kd	6.071	0.908	0.279
1b5h	Kd	6.013	0.737	0.258
1yet	Kd	5.921	0.981	0.514
1jmf	Kd	5.770	0.895	0.240
1b3l	Kd	5.886	0.767	0.268
1b3f	Kd	6.886	0.742	0.249
1a1e	Kd	6.000	0.946	0.419
2izl	Kd	6.000	0.570	0.216
1b3g	Kd	6.699	0.661	0.243
4tmk	Kd	7.699	0.855	0.355
1bm7	Kd	7.523	0.651	0.330
5tmp	Kd	7.469	0.850	0.372
3pcn	Kd	3.658	0.603	0.137
1amw	Kd	4.538	0.981	0.371
1b2h	Kd	4.538	0.708	0.238
1a99	Kd	5.699	0.619	0.190
1b4h	Kd	5.463	0.750	0.244
1swg	Kd	7.358	0.500	0.195
4rsk	Kd	4.324	0.881	0.342
1b05	Kd	7.125	0.697	0.234
1b32	Kd	7.102	0.643	0.241
1usn	Ki	7.745	0.953	0.443
1qaw	Kd	5.125	0.500	0.145
2qwe	Ki	7.481	0.856	0.327
1bv7	Ki	10.301	0.994	0.613
1xug	Ki	7.046	0.995	0.537
1bxo	Ki	10.000	0.920	0.311
1bv9	Ki	9.959	0.993	0.601
1bhx	Ki	6.839	0.991	0.476
2usn	Ki	6.509	0.961	0.461
1moq	Ki	3.456	0.536	0.192
1alw	Ki	6.523	0.500	0.188
1bdq	Ki	6.337	0.986	0.577
1met	Ki	9.398	0.992	0.633
10gs	Ki	6.398	0.602	0.320
1br6	Ki	3.222	0.803	0.304
2wed	Ki	6.097	0.949	0.343
3pcf	Ki	6.046	0.500	0.123
1a4w	Ki	5.921	0.992	0.491
3pce	Ki	2.000	0.500	0.118
2wec	Ki	3.959	0.935	0.332
2qwd	Ki	4.854	0.794	0.247
1hxw	Ki	10.824	0.994	0.640
1bju	Ki	4.796	0.991	0.552
2qwb	Ki	2.740	0.823	0.230
2qwf	Ki	5.666	0.873	0.371
1bwa	Ki	8.602	0.991	0.612
1bjv	Ki	5.538	0.992	0.533
1mes	Ki	7.699	0.991	0.602
6std	Ki	8.638	0.500	0.204
1afk	Ki	6.620	0.792	0.315
3jdw	Ki	3.597	0.500	0.148
2qwc	Ki	3.553	0.829	0.262
1hfs	Ki	8.699	0.977	0.460
1ohr	Ki	8.699	0.992	0.642
1bwb	Ki	8.420	0.992	0.596
1bxq	Ki	7.377	0.912	0.301
1a28	Ki	8.292	0.925	0.413
1a30	Ki	4.301	0.948	0.429
1afl	Ki	6.284	0.821	0.313
3pcg	Ki	2.301	0.500	0.117
1a69	Ki	5.301	0.500	0.192
1bq4	Ki	5.222	0.561	0.192
2web	Ki	5.119	0.935	0.334
1b8n	Ki	10.523	0.640	0.325
1stc	Ki	8.097	0.984	0.497
1bnn	Kd	10.000	0.957	0.492
