PDB_ID,SMILES,size
1nh0_0,OC[C@H](O)[C@H](CC1CCCCC1)N[C@H](O)OCC1CCCCC1,23
1ofz_2,C[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@@H]1O,11
2bxm_0,CCCCCCCCCCCCCC(O)O,16
3ar4_2,CC(O)OC[C@H](CO[PH](O)(O)OCCN)OC(C)O,19
3cbg_1,COC1CC(CCC(O)O)CCC1O,14
3evd_0,NC1NC(O)C2NCN([C@@H]3O[C@H](CO[PH](O)(O)O[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]3O)C2N1,32
3fp0_1,CC1CC[C@@]2(CO)[C@@H](C1)O[C@@H]1[C@H](OC(C)O)C[C@@]2(C)[C@]12CO2,22
3k5i_2,NC1CNCN1[C@@H]1O[C@H](CO[PH](O)(O)O)[C@@H](O)[C@H]1O,19
3k5i_4,N[C@H]1CNCN1[C@@H]1O[C@H](CO[PH](O)(O)O)[C@@H](O)[C@H]1O,19
3nr4_1,OS(O)(NCC1CCCCN1)C1CCC(Br)C2CCCCC21,22
4csj_0,CC1C[C@@H](C)C[C@H](C)C1S(O)(O)N[C@@H](C)CNC1CCCC2C1CNN2C1CCC(F)CC1,33
4rf9_0,NC(N)NCCC[C@H](N)C(O)O,12
4yha_1,CC(O)NC1S[C@@H](S(N)(O)O)NN1C,14
5tvf_1,NC(NNCC1CCCC(C(N)N)C1)NNCC1CCCC(C(N)N)C1,26
6fu1_0,CCCCCC(O)N(O)[C@H]1C[C@H](O)N(C2CCC(Cl)CC2)C1O,23
