pname,cluster_kmeans,cluster_hdbscan,cluster_birch
10gs,44,-1,3
11ba,17,-1,2
11bg,18,-1,2
11gs,44,-1,46
121p,18,-1,3
12as,4,-1,35
12gs,44,-1,46
13gs,44,-1,46
13pk,44,-1,2
154l,36,-1,10
16pk,18,-1,3
17gs,23,-1,3
181l,26,-1,19
182l,13,-1,35
186l,33,-1,19
18gs,23,-1,46
19gs,34,-1,36
1a05,26,-1,36
1a07,29,-1,47
1a08,42,-1,28
1a0f,24,-1,46
1a0g,1,-1,28
1a0q,47,-1,4
1a16,36,-1,10
1a1a,40,-1,8
1a1b,29,-1,47
1a1c,42,-1,28
1a1e,42,-1,3
1a1m,18,-1,3
1a26,5,-1,26
1a27,23,-1,13
1a28,39,-1,33
1a2b,49,-1,7
1a2c,35,-1,11
1a2k,18,-1,2
1a2t,30,-1,42
1a2u,38,-1,7
1a3k,2,-1,14
1a3t,38,-1,7
1a3u,38,-1,7
1a3v,30,-1,42
1a4g,34,-1,22
1a4h,19,-1,4
1a4i,13,-1,46
1a4k,34,-1,36
1a4m,35,-1,33
1a4q,26,-1,13
1a4r,7,-1,41
1a4w,47,-1,12
1a50,45,-1,1
1a53,25,-1,15
1a55,7,-1,2
1a59,15,-1,0
1a5b,45,-1,1
1a5s,45,-1,1
1a5v,34,-1,36
1a5w,44,-1,3
1a5x,23,-1,25
1a5z,1,-1,35
1a69,24,-1,28
1a6v,48,-1,17
1a6w,22,-1,17
1a78,37,-1,13
1a7c,13,-1,19
1a82,42,-1,28
1a8a,1,-1,28
1a8b,34,-1,6
1a8g,20,-1,26
1a8i,43,2,9
1a95,26,-1,19
1a96,13,-1,46
1a9p,44,-1,46
1a9s,29,-1,8
1a9t,29,-1,8
1a9u,19,-1,11
1a9y,34,-1,36
1a9z,34,-1,36
1aax,27,-1,20
1abe,26,-1,36
1abf,26,-1,36
1abn,8,-1,21
1aco,1,-1,3
1ad4,16,-1,15
1ad8,47,-1,12
1add,0,-1,22
1adl,14,-1,17
1ado,44,-1,3
1ads,47,-1,4
1ae4,41,-1,25
1ae8,35,3,10
1aeb,22,-1,33
1aef,22,-1,33
1aej,22,-1,33
1aer,6,-1,18
1aev,48,-1,21
1aex,30,-1,42
1af7,32,-1,0
1afa,42,-1,28
1afb,15,-1,23
1afe,35,3,10
1afk,43,-1,9
1afl,10,-1,2
1afq,11,-1,33
1afs,42,-1,28
1ag9,22,-1,17
1agb,41,-1,3
1agm,33,-1,19
